id,name,status,start_date,end_date,network,country,runtime,rating,rating_count,genres,total_episodes
21356,En god nummer to,New Series,Mar/02/2009,,TV2,NO,30,0,0,Comedy,8
21404,Junior Jubilee,Canceled/Ended,Mar/1956,,ABC,US,30,0,0,"Family, Music, Teens, Celebrities, Talent",1
21432,The Bobbie Gentry Show,Canceled/Ended,Jun/05/1974,Jun/26/1974,CBS,US,60,0,0,"Family, Music, Talent",4
21565,The Golden Moment: An Olympic Love Story,Canceled/Ended,May/25/1980,May/26/1980,NBC,US,240,0,0,Sports,0
21597,Community,Ended,2009-09-17,,Yahoo! View,US,30,8.4000,20,Comedy,110
21745,Ik ben Willem,Canceled/Ended,Oct/06/2002,Apr/17/2005,VPRO,NL,15,0,0,"Drama, Adventure, Children",16
21778,Waiting to Die,Pilot Rejected,2009,,CBS,US,30,0,0,"Comedy, Family",0
21846,Class Action,Pilot Rejected,2009,,TNT DRAMA,US,60,0,0,"Drama, Family",0
21900,Property Snakes and Ladders,New Series,Jun/09/2009,,Channel 4,GB,60,0,0,"How To/Do It Yourself, Housing/Building, Buy, Sell & Trade",12
21985,Rock!,New Series,Jun/13/2009,,VPRO,NL,50,0,0,"History, Music",7
22055,Uhhh... Vergeet Je Tandenborstel Niet!,Canceled/Ended,Aug/08/1995,Mar/03/1999,Veronica,NL,60,0,0,Comedy,52
22056,Prísne tajné,Canceled/Ended,Sep/10/2008,Dec/17/2008,nova,CZ,30,0,0,"Family, Celebrities, Interview",15
22065,"Kunt u mij de weg naar Hamelen vertellen, mijnheer?",Ended,1972-01-22,,NPO 1,NL,45,0,0,"Adventure, Family",45
22071,BN’ers in het Park,New Series,Jul/11/2009,,RTL 4,NL,30,0,0,Comedy,7
22073,Kid vs Kat,Ended,2008-10-25,,YTV,CA,30,0,0,Children,52
22076,You Have Been Watching,Ended,2009-07-07,,Channel 4,GB,35,0,0,Comedy,16
22089,Nicholas Nickleby,Canceled/Ended,Mar/27/1977,May/01/1977,BBC one,GB,60,0,0,Drama,6
22091,Mystery of Edwin Drood,Canceled/Ended,Sep/28/1960,Nov/16/1960,itv,GB,30,0,0,"Drama, Mystery",8
22099,The National Lottery: Millionaire Manor,Canceled/Ended,Dec/03/2005,Mar/2006,BBC one,GB,45,8.0000,1,,14
22105,Only Connect,Running,2008-09-15,,BBC Two,GB,30,0,0,"Family, Lifestyle",488
22113,The National Lottery Amazing Luck Stories,Canceled/Ended,Oct/21/1998,Oct/11/2000,BBC one,GB,40,0,0,"Family, Lifestyle",30
22117,Twins by Surprise,Canceled/Ended,Jun/14/2009,Jun/28/2009,TLC,US,60,0,0,"Family, Educational, How To/Do It Yourself",3
22118,The National Lottery Euro Millions Draw,Canceled/Ended,Feb/08/2008,May/07/2010,BBC one,GB,5,0,0,Family,118
22122,2012 Het Jaar Nul,New Series,Oct/10/2009,,AVRO,NL,25,0,0,"Drama, Children",12
22123,As Seen on TV,Canceled/Ended,Jul/17/2009,Sep/03/2009,BBC one,GB,30,0,0,Celebrities,8
22260,The Wanted,Canceled/Ended,Jul/20/2009,Jul/27/2009,NBC,US,60,6.0000,2,"Family, Interview, Educational",2
22312,Mind of a Model,Canceled/Ended,Jul/16/2008,Aug/2008,RIPE TV,US,60,0,0,"Family, How To/Do It Yourself, Fashion/Make-up",0
22359,The National Lottery UK 2000,Canceled/Ended,Jan/26/2000,Mar/2000,BBC one,GB,10,0,0,Lifestyle,21
22372,"Slimste, De (2009)",Canceled/Ended,Sep/28/2009,Nov/19/2009,RTL 4,NL,50,0,0,"Family, Celebrities, Tech/Gaming",32
22373,Classic Goldie,New Series,Jul/31/2009,,BBC TWO,GB,60,0,0,"Music, Celebrities",2
22374,How The Other Half Live,New Series,Jul/31/2009,,Channel 4,GB,60,10.0000,1,"Family, Lifestyle",10
22376,Grimefighters,Ended,Jul/22/2009,2011,sky MOVIES FAMILY,GB,30,0,0,,48
22398,Eurocasting,Canceled/Ended,2004,2004,Andorra TV,AD,60,0,0,"Family, Music, Celebrities, Talent",0
22416,Launch My Line,Canceled/Ended,Dec/02/2009,Feb/03/2010,Bravo,US,60,5.0000,2,Fashion/Make-up,9
22461,Terry and the Pirates,Canceled/Ended,1952,1953,Syndicated,US,30,0,0,"Action, Adventure",0
22480,Tour de Provence,Canceled/Ended,Aug/15/2009,,RTV Noord-Holland,NL,180,0,0,"Adventure, Celebrities, Tech/Gaming",12
22523,House of Jazmin,Canceled/Ended,Aug/18/2009,Sep/05/2009,MTV,US,30,0,0,"Comedy, Family",4
22579,Gran Hermano,Running,2000-04-23,,Telecinco,ES,120,0,0,Family,139
22628,The Fuzz (2009),Pilot Rejected,2009,,Comedy Central,US,30,0,0,"Comedy, Crime, Family, Teens, Sketch/Improv",0
22659,Sci Trek,Returning Series,Feb/04/2008,,Discovery CHANNEL,GB,60,0,0,"Educational, Discovery/Science",1
22667,Entertainmentstudios.com,Returning Series,2006,,Syndicated,US,30,0,0,"Celebrities, Interview",0
22741,Buurt op stelten,Canceled/Ended,Jan/08/2006,Feb/26/2008,Tien,NL,50,0,0,"Family, Music",8
22810,Crash (UK),Canceled/Ended,Sep/09/2009,May/28/2010,BBC one Wales,GB,30,0,0,"Drama, Medical",12
22813,Seiken no Blacksmith,Ended,2009-10-03,,AT-X,JP,25,10.0000,1,"Action, Adventure, Fantasy, Anime",12
22816,Ross Noble's Australian Trip,Ended,2009-09-28,,Channel 5,GB,60,0,0,"Comedy, Travel",6
22818,Music Idol,Canceled/Ended,Feb/26/2007,,bTV,BG,60,0,0,"Music, Talent",0
22837,The New Adventures of Black Beauty (1992),Canceled/Ended,1992,,RURAL TV,AU,24,0,0,"Adventure, Children",0
22910,Restaurant in Our Living Room,New Series,Sep/24/2009,,channel one,GB,10,0,0,Cooking/Food,9
22913,Life on Top,Ended,2009-10-03,,Cinemax,US,30,0,0,"Drama, Romance, Adult",26
22919,Dishing the Dirt,Canceled/Ended,Oct/13/2009,Nov/03/2009,itv,GB,60,0,0,Cooking/Food,4
22934,Hungry Beast,Ended,2009-09-30,,ABC,AU,30,0,0,Comedy,32
22951,Coxy's Big Break,New Series,Apr/17/2004,,Seven,AU,30,0,0,"Adventure, Family, Travel",1
23141,¿Quién quiere ser millonario? (PA),New Series,Jul/13/2009,,Canal 13,PA,60,0,0,Family,1
23216,Christianity: A History,Canceled/Ended,Jan/11/2009,Mar/01/2009,Channel 4,GB,60,0,0,Religion,8
23458,Haven,Ended,2010-07-09,,Syfy,US,60,8.1250,8,"Crime, Drama, Supernatural",78
23492,Living in Your Car,Ended,2010-05-07,,HBO Canada,CA,30,0,0,"Comedy, Drama",21
23546,Alphaville,Pilot Rejected,2010,,SHOWTIME,US,60,0,0,"Drama, Family",0
23696,Trot Lovers,Ended,Jun/23/2014,Aug/12/2014,KBS2,KR,66,0,0,"Romance/Dating, Music",16
23737,Let's Talk About,Ended,2015-10-30,,FOXTEL Now,US,10,4.0000,2,"Romance/Dating, Family, Music, Celebrities, Talent, Lifestyle",20
23888,Model City,Canceled/Ended,Feb/18/2010,Apr/01/2010,Centric,US,30,0,0,"Family, Talent, Fitness",7
23890,"Leukste Jaren, De",New Series,Jan/16/2010,,KRO,NL,50,0,0,"History, Music, Celebrities, Tech/Gaming",5
23916,Courtside with Seth Davis,Returning Series,Jan/11/2010,,CBS SPORTS NETWORK,US,60,0,0,"Family, Sports, Talent",4
24107,Noonbory and the Super Seven,Canceled/Ended,Sep/19/2009,Sep/18/2010,CBS,US,30,0,0,Animation General,0
24229,Wrestlicious TakeDown,New Series,Mar/01/2010,,MAVTV,US,60,0,0,"Comedy, Action, Family, Sports, Talent, Fitness",13
24239,Hoarding: Buried Alive,Ended,2009-05-09,,TLC,US,60,6.5000,2,"Medical, Interview, Discovery/Science",118
24454,Nonkel Jef,Canceled/Ended,Jan/02/1995,Feb/04/2007,VTM,BE,30,0,0,Comedy,17
24609,Engrenages,Ended,2005-12-13,,Canal+,FR,60,0,0,"Crime, Drama",86
24802,Ezel,Ended,Sep/28/2009,,ATV,TR,100,8.0000,3,"Crime, Drama, Thriller",71
