id,name,status,start_date,end_date,network,country,runtime,rating,rating_count,genres,total_episodes
15045,Crazy in Love,Canceled/Ended,Feb/03/2007,Apr/2007,SBS,KR,60,0.0,0,"Drama, Romance/Dating",24
15047,Četnické humoresky,Returning Series,Jan/04/2001,,ČT1,CZ,75,0.0,0,Crime,0
15048,Dispečer,Canceled/Ended,1971,1971,ČST,CZ,70,0.0,0,"Comedy, Music",0
15049,Dobrodružství kriminalistiky,Canceled/Ended,1989,1993,ČT1,CZ,50,0.0,0,Crime,26
15050,Eden,Canceled/Ended,Jan/07/2007,Feb/2007,ČT1,CZ,60,0.0,0,Crime,0
15051,F.L.Věk,Ended,1971,1971,ČST,CZ,60,0.0,0,Drama,13
15052,Hříšní lidé Města pražského,Canceled/Ended,1968,1971,ČST,CZ,50,0.0,0,Crime,13
15053,Malý pitaval z velkého města,Canceled/Ended,1982,1986,ČST,CZ,60,0.0,0,Crime,0
15054,On je žena!,Canceled/Ended,Feb/14/2005,Apr/2005,nova,CZ,70,0.0,0,Comedy,0
15055,Panoptikum města pražského,Canceled/Ended,1986,1986,ČST,CZ,64,0.0,0,Crime,0
15056,Jim'll Fix It Strikes Again,Canceled/Ended,Apr/05/2007,May/10/2007,GOLD,GB,30,0.0,0,Family,6
15057,Ruddy Hell It's Harry And Paul,Returning Series,Apr/13/2007,,BBC one,GB,30,0.0,0,Comedy,12
15058,Que Sera Sera,Canceled/Ended,Mar/17/2007,May/2007,MBC,KR,60,0.0,0,"Drama, Romance/Dating",16
15059,Thank You,Canceled/Ended,Mar/21/2007,May/2007,MBC,KR,60,0.0,0,"Drama, Romance/Dating",16
15063,Tokyo Majin,Ended,2007-01-19,,Animax,JP,25,8.5,2,"Action, Adventure, Fantasy, Anime",26
15066,Heroic Age,Canceled/Ended,Apr/01/2007,Aug/2007,TV Tokyo,JP,25,0.0,0,"Romance/Dating, Sci-Fi, Adventure, Anime",26
15068,Touka Gettan,Canceled/Ended,Apr/02/2007,Sep/2007,,JP,30,0.0,0,"Comedy, Drama, Romance/Dating, Anime",26
15070,"High as the Sky, Wide as the Earth",Returning Series,Jan/15/2007,,KBS1,KR,60,0.0,0,"Drama, Family",80
15072,Life Begins Again,Canceled/Ended,Apr/02/2007,May/11/2007,Channel 4,GB,65,6.5,2,Family,30
15074,El Cazador de la Bruja,Ended,2007-04-02,,TV Tokyo,JP,25,0.0,0,"Crime, Action, Anime",26
15078,Engage Planet Kiss Dum,Canceled/Ended,Apr/2007,Sep/2007,TV Tokyo,JP,30,0.0,0,"Sci-Fi, Anime",26
15085,Kamichama Karin,Canceled/Ended,Apr/06/2007,Sep/2007,TV Tokyo,JP,30,0.0,0,"Romance/Dating, Fantasy, Anime",26
15089,iCarly,Ended,2021-06-17,,Paramount+,US,10,9.2857,14,"Comedy, Family, Children",106
15090,Hollywood Beat,Canceled/Ended,Sep/21/1985,Nov/23/1985,ABC,US,60,0.0,0,"Crime, Drama, Action",8
15091,The Oldest Rookie,Canceled/Ended,Sep/16/1987,Jan/13/1988,CBS,US,60,10.0,1,"Crime, Drama, Action",14
15092,Jon & Kate Plus 8,Canceled/Ended,Apr/10/2007,Nov/23/2009,TLC,US,30,7.0,2,"Family, Children",110
15093,Film 99,Canceled/Ended,Mar/24/1999,Nov/30/1999,BBC one,GB,30,0.0,0,Family,24
15094,Scarred,Canceled/Ended,Apr/10/2007,Aug/07/2007,MTV,US,30,0.0,0,,14
15095,Ashes to Ashes,Ended,2008-02-07,,BBC One,GB,60,9.0,1,"Crime, Drama, Fantasy",24
15096,Ladette to Lady,Ended,Jun/02/2005,Aug/24/2010,itv,GB,60,0.0,0,,27
15097,"Green: The New Red, White and Blue",Canceled/Ended,Apr/21/2007,,Discovery Channel,US,90,0.0,0,,0
15098,National Geographic's Strange Days on Planet Earth,Returning Series,Apr/2005,,PBS,US,60,0.0,0,,5
15099,Earth 2100: Wild Weather Ahead,Canceled/Ended,Apr/21/2007,,Discovery Channel,US,60,0.0,0,,0
15100,The Academy (AU),Canceled/Ended,Feb/20/2001,2001,ABC,AU,30,0.0,0,"Action, Military/War",5
15101,Superstorm,Canceled/Ended,Apr/15/2007,Apr/29/2007,BBC one,GB,60,0.0,0,Drama,3
15102,The Science Of Superstorms,New Series,Apr/15/2007,,BBC TWO,GB,30,0.0,0,Family,3
15103,The Real Estate Pros,Canceled/Ended,Apr/21/2007,Aug/19/2009,TLC,US,60,0.0,0,Housing/Building,15
15104,The Football Years,On Hiatus,Oct/16/2002,,sky 1,GB,10,0.0,0,Sports,0
15105,This Is David Gest,Canceled/Ended,Apr/22/2007,May/27/2007,itv,GB,45,0.0,0,Family,6
15106,The Springer Hustle,Canceled/Ended,Apr/15/2007,Jun/05/2007,VH1,US,30,0.0,0,,8
15107,Kvelden er din,New Series,Mar/24/2012,,TV2,NO,45,0.0,0,,9
15108,Missing (UK),Returning Series,Jan/31/2005,,BBC one,GB,45,0.0,0,Family,94
15109,Talk Soup,Canceled/Ended,Dec/26/1991,May/17/2002,E!,US,30,0.0,0,Comedy,0
15110,Living Lahaina,Canceled/Ended,Apr/17/2007,May/01/2007,MTV,US,30,0.0,0,,3
15111,Holby Blue,Canceled/Ended,May/08/2007,Jun/05/2008,BBC one,GB,60,0.0,0,"Crime, Drama",20
15112,Demolition (2007),Canceled/Ended,Apr/18/2007,May/16/2007,BBC one,GB,30,9.0,2,Family,5
15113,Kingdom,Ended,2025-11-09,,BBC iPlayer,GB,10,0.0,0,Nature,18
15114,Watchdog Healthcheck,Canceled/Ended,Jun/15/1995,Feb/2002,BBC one,GB,30,0.0,0,Family,92
15115,Katie And Peter: The Next Chapter,Canceled/Ended,Apr/19/2007,Nov/06/2008,itv2,GB,60,0.0,0,Family,17
15116,The Drinky Crow Show,Canceled/Ended,May/13/2007,Jan/25/2009,Adult Swim,US,15,0.0,0,"Comedy, Adult Cartoons",10
15117,Superjail!,Ended,2007-05-13,,Adult Swim,US,15,6.5,2,"Comedy, Crime",37
15118,Fat Guy Stuck in Internet,Ended,2007-05-13,,Adult Swim,US,15,4.0,2,Comedy,10
15119,That Crook'd 'Sipp,Pilot Ordered,May/13/2007,,Cartoon Network,US,15,0.0,0,"Comedy, Adult Cartoons",1
15120,Let's Fish,Pilot Ordered,May/13/2007,,Cartoon Network,US,15,0.0,0,"Comedy, Adult Cartoons",1
15121,Tyler Perry's House of Payne,Ended,Jun/06/2007,Aug/10/2012,tbs,US,30,9.3333,3,"Comedy, Family",255
15122,The Real Wedding Crashers,Ended,2007-04-23,,NBC,US,60,0.0,0,"Comedy, Romance",4
15123,Treasure Hunter: Kirsten Gum,Canceled/Ended,Jan/2006,Feb/21/2009,travel CHANNEL,US,60,0.0,0,Adventure,51
15124,Flash Gordon,Ended,2007-08-10,,Syfy,US,60,0.0,0,Science-Fiction,21
15125,Victoria's Empire,Canceled/Ended,Apr/29/2007,May/13/2007,BBC one,GB,60,0.0,0,Family,3
15126,Inside Sport,Canceled/Ended,Apr/30/2007,Feb/05/2011,BBC one,GB,30,0.0,0,"Family, Sports",63
15127,It's Itsy Bitsy Time,Canceled/Ended,Sep/1999,2000,ABC Family,US,30,0.0,0,"Family, Children",0
15128,Space Academy,Canceled/Ended,Sep/10/1977,Sep/01/1979,CBS,US,30,0.0,0,Sci-Fi,15
15129,Star in My Heart,Canceled/Ended,Mar/10/1997,May/1997,MBC,KR,60,0.0,0,Drama,17
15130,Happy Together,Canceled/Ended,Jun/16/1999,Aug/1999,SBS,KR,60,0.0,0,"Drama, Romance/Dating, Family",16
15131,Mothers and Sisters,Canceled/Ended,Nov/04/2000,Apr/2001,MBC,KR,50,0.0,0,"Drama, Family",50
15132,A Delicious Proposal,Canceled/Ended,Mar/28/2001,May/17/2001,MBC,KR,50,0.0,0,"Drama, Romance/Dating, Cooking/Food",16
